a1_0,a1_1,a1_2,a1_3,a2_0,a2_1,a3_0,a3_1,a3_2,a3_3,a3_4,a3_5,b1_0,b1_1,b1_2,b1_3,b2_0,b2_1,b2_2,b2_3,b2_4,b3_0,b3_1,b3_2,b3_3,b4_0,b4_1,b4_2,b4_3,c1_0,c1_1,c1_2,c1_3,c1_4,c1_5,c1_6,c1_7,c1_8,c1_9,c1_10,c1_11,c2_0,c2_1,c2_2,c2_3,c2_4,c2_5,c3_0,c3_1,c3_2,c4_0,c4_1,risk_index,risk_label
2,3,3,2,3,3,2,2,2,3,3,2,2,3,3,2,2,3,2,2,2,3,2,3,2,2,2,2,3,3,2,3,3,2,2,2,3,3,2,3,3,3,2,3,3,3,2,2,2,2,3,2,5.6647315959876545,MODERATE
2,2,3,3,3,2,3,2,2,3,3,3,3,3,3,2,3,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,3,3,2,3,3,2,3,2,2,2,2,2,3,3,3,3,3,3,6.407826462916669,MODERATE
3,2,2,3,2,2,2,3,2,2,3,2,3,2,2,3,3,2,2,3,2,3,2,2,3,2,3,2,3,2,2,2,3,3,2,2,2,3,3,2,3,2,3,2,3,2,2,3,3,2,3,3,5.629324178240742,MODERATE
2,3,3,2,3,2,3,2,2,2,2,3,3,2,3,3,2,3,3,3,3,2,3,2,3,2,3,3,3,2,3,3,3,2,3,2,3,2,3,2,2,2,3,2,2,3,3,2,3,2,2,3,5.907736519845679,MODERATE
2,3,2,3,3,2,3,3,2,3,2,2,3,2,2,3,2,2,2,2,3,2,2,3,2,3,2,2,2,2,2,2,3,2,3,2,3,3,3,2,3,3,3,3,3,2,2,3,3,2,2,3,5.495453854814815,MODERATE
2,3,2,3,2,3,2,3,3,3,2,3,2,2,3,3,2,2,3,3,3,3,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,2,3,3,2,3,2,3,3,2,2,2,2,2,3,3,5.858033903580248,MODERATE
2,2,3,2,3,2,3,2,2,2,3,2,3,3,2,2,3,2,3,3,3,2,2,2,2,2,2,3,3,2,3,3,3,2,2,3,3,2,3,3,3,2,2,2,3,2,2,3,2,2,2,3,5.012975177777777,MODERATE
3,2,3,3,2,3,3,3,3,3,3,2,3,2,3,2,2,2,3,3,3,3,2,2,2,2,2,3,3,3,2,3,3,2,3,2,3,2,3,2,2,2,2,3,3,2,3,2,3,2,2,3,5.911307638888888,MODERATE
2,3,3,3,3,3,2,3,3,3,3,2,2,3,2,2,2,3,2,3,2,2,3,3,3,3,2,2,2,2,3,3,2,2,2,3,2,3,3,3,2,2,3,3,2,3,2,2,2,2,3,3,6.1179806597453705,MODERATE
2,3,3,2,3,2,2,3,2,2,2,3,2,3,2,3,2,2,2,2,3,2,3,2,2,2,3,2,2,3,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,3,2,3,3,3,3,5.479417580864197,MODERATE
3,2,3,2,3,3,2,2,2,3,2,3,3,2,3,2,3,2,2,2,3,3,3,2,2,2,3,3,2,3,3,3,2,3,3,3,2,2,3,3,2,3,3,2,2,2,2,2,2,2,3,2,5.928988151234568,MODERATE
3,3,2,2,3,3,2,3,2,3,3,2,2,3,2,2,2,3,3,3,2,3,3,2,2,2,2,3,2,3,3,2,3,3,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,3,3,2,5.355244743873459,MODERATE
2,3,2,2,3,2,3,3,2,2,3,3,2,3,3,3,2,3,2,3,3,3,2,2,2,3,3,3,2,3,3,2,2,3,2,3,2,2,3,3,3,3,3,3,3,3,2,3,2,3,2,3,6.048212066666667,MODERATE
2,2,2,2,2,3,3,2,2,2,3,2,3,2,3,3,2,3,2,2,2,2,2,2,3,2,3,2,3,2,2,3,3,2,3,3,3,3,2,3,2,2,2,3,2,3,2,3,3,3,2,3,5.1171220625,MODERATE
3,2,2,2,2,3,2,3,2,3,3,3,3,2,3,2,2,3,3,3,2,3,3,3,3,2,3,3,2,2,2,3,2,2,3,2,2,3,3,2,2,3,3,3,3,2,3,3,2,3,3,2,6.071890353587963,MODERATE
2,2,3,2,2,3,2,3,2,3,2,3,3,2,2,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,2,3,3,3,3,2,3,2,3,3,3,2,2,3,3,2,2,2,2,2,2,3,5.794426218287038,MODERATE
3,2,3,2,3,3,2,2,2,3,2,2,2,2,2,3,3,3,2,3,3,2,2,3,3,3,2,3,3,3,2,2,3,2,2,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,6.586865025000002,MODERATE
2,2,2,3,3,2,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,3,2,3,3,3,3,3,2,3,2,2,2,3,2,2,3,2,3,3,3,2,3,2,2,3,2,2,2,3,3,6.034137295000001,MODERATE
2,3,3,2,3,3,2,3,2,3,3,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,2,2,2,3,3,2,2,3,3,3,3,3,2,2,2,3,2,2,2,3,3,3,2,2,3,7.05047498941358,HIGH
3,3,2,2,2,2,3,2,2,3,2,3,3,2,2,2,3,2,3,2,2,2,3,3,2,3,3,2,2,3,2,2,3,3,2,3,3,2,3,3,2,3,2,2,2,3,2,2,3,2,2,2,4.675665662283951,MODERATE
3,2,2,2,2,3,2,3,3,2,2,2,2,3,3,3,2,2,2,3,2,2,3,3,2,2,3,2,2,3,2,3,3,2,3,3,3,3,3,2,3,3,2,3,2,2,2,3,3,2,2,3,5.309405223456791,MODERATE
3,3,3,3,3,2,2,3,3,3,2,3,2,2,3,2,2,3,2,3,3,2,2,3,3,2,2,2,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,3,3,3,2,2,2,3,3,5.800905458333334,MODERATE
2,2,3,2,3,3,2,2,2,3,2,2,2,3,2,2,3,3,2,3,3,3,3,2,2,2,3,3,2,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,2,6.196748569907408,MODERATE
3,2,2,3,3,3,2,3,2,3,3,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,3,2,3,2,3,3,3,3,2,3,3,3,2,2,3,3,2,2,2,3,3,2,2,2,3,3,6.065976522191358,MODERATE
3,3,2,3,3,2,2,2,2,2,2,2,2,3,3,3,2,2,3,2,3,3,2,3,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,2,2,2,3,2,3,3,3,2,3,3,3,5.771269631111111,MODERATE
2,2,3,3,2,2,3,3,3,2,2,2,3,2,3,2,3,3,2,2,2,2,3,2,2,3,2,2,2,2,3,2,2,2,3,3,2,3,2,3,3,2,3,3,2,3,3,2,3,2,3,2,5.279709363580247,MODERATE
3,2,3,2,3,2,2,2,2,2,3,3,3,2,3,3,2,3,3,3,2,3,2,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,2,2,2,3,2,3,3,2,2,2,2,5.834068805555555,MODERATE
2,3,3,2,3,3,3,3,2,2,2,3,2,3,3,3,3,2,3,2,2,3,2,2,3,2,3,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,5.87293485625,MODERATE
3,2,2,3,2,3,3,3,3,3,3,3,2,2,3,3,2,2,3,2,2,2,3,3,3,3,3,2,3,2,3,2,3,3,2,3,2,3,3,3,3,3,2,2,2,2,3,2,2,2,3,3,6.131732545138889,MODERATE
2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,2,3,3,3,2,2,3,3,2,2,2,2,3,3,2,3,3,3,3,2,3,2,2,2,2,3,3,2,3,2,2,3,2,2,4.530622224290124,MODERATE
2,3,3,2,3,3,3,2,2,3,2,3,2,3,3,3,3,3,3,3,2,2,3,2,2,2,3,2,3,3,3,2,2,3,2,3,2,3,3,2,3,3,2,3,2,2,2,2,2,2,2,2,5.732968366666666,MODERATE
3,2,3,2,3,2,3,2,3,2,2,3,2,3,2,2,3,3,3,2,2,2,3,2,3,2,2,2,2,2,3,3,3,2,2,3,2,3,2,2,2,3,3,2,2,3,3,3,3,2,2,2,5.3019837384259265,MODERATE
2,2,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,2,3,2,2,3,2,3,3,3,2,3,3,2,2,2,2,2,3,2,3,3,2,2,3,3,2,2,3,2,2,2,2,2,2,2,5.809872757893518,MODERATE
2,2,2,3,2,2,2,2,2,3,2,3,2,3,3,2,2,3,3,2,2,3,3,3,2,3,2,2,3,3,3,2,3,2,3,2,2,2,3,3,3,2,3,3,3,3,3,2,2,3,3,3,5.388654227962962,MODERATE
2,2,3,2,3,3,3,2,2,3,2,2,2,2,2,2,3,2,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,3,2,2,3,3,2,3,3,2,3,3,3,2,6.500788799074073,MODERATE
2,3,2,3,2,3,3,2,3,3,3,3,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,3,2,3,2,3,3,2,2,2,2,3,2,3,2,3,3,3,2,2,2,3,3,5.352106691296298,MODERATE
3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,2,3,3,2,3,2,3,3,3,3,3,3,2,2,2,3,2,3,2,2,2,3,3,3,2,2,2,2,3,3,2,3,2,2,2,2,2,6.444701821604939,MODERATE
3,2,3,3,2,2,2,3,2,3,2,2,2,2,2,3,3,3,2,2,2,3,3,3,2,2,3,3,2,3,3,3,3,3,2,3,2,2,2,2,3,2,3,2,2,3,2,2,2,3,3,3,5.572607608101851,MODERATE
2,2,3,2,3,2,3,2,3,2,3,3,2,3,2,2,3,2,3,3,3,2,2,2,3,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,3,3,2,3,2,3,3,3,3,2,2,2,5.779627217283951,MODERATE
3,3,3,2,2,3,3,2,3,2,3,3,3,2,2,2,3,3,3,3,2,2,3,3,3,3,2,3,3,2,3,3,2,2,2,2,2,3,2,3,3,3,2,3,2,3,2,2,3,3,2,2,5.708245665833333,MODERATE
2,3,2,2,2,2,3,2,3,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,2,3,3,2,5.114970960617283,MODERATE
3,3,3,2,3,2,3,3,2,2,2,2,3,3,2,2,2,2,2,2,3,2,3,3,2,2,2,3,3,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,3,3,3,5.5071016,MODERATE
2,2,2,2,2,3,3,3,3,3,2,3,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,3,3,2,3,2,3,3,2,3,3,2,2,3,3,2,2,3,4.8869553833333335,MODERATE
3,3,2,2,3,2,2,3,2,2,2,3,3,2,2,3,3,2,2,3,3,3,2,3,2,3,3,3,2,2,2,2,2,2,3,2,2,3,2,3,2,3,2,2,3,3,3,3,2,2,3,2,5.917590609722221,MODERATE
2,2,2,3,3,2,3,2,2,3,2,2,3,2,3,2,3,3,3,3,2,2,2,2,3,2,2,2,3,3,2,2,3,2,2,3,3,2,3,3,3,2,2,3,3,2,3,2,2,3,2,2,5.097103012345681,MODERATE
2,3,3,2,3,3,3,2,3,2,3,2,2,3,3,3,2,2,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,3,3,2,3,3,2,2,2,3,2,3,3,6.369687451111111,MODERATE
3,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,3,2,3,3,3,3,2,3,2,2,2,2,3,3,2,2,3,3,2,2,3,3,3,3,2,3,2,2,2,2,3,2,3,3,3,5.734893587499999,MODERATE
2,2,2,3,3,2,3,2,2,2,3,2,2,3,3,3,2,3,2,3,3,2,2,3,2,2,3,2,2,2,2,3,2,2,3,2,3,3,2,3,3,2,2,2,3,2,3,3,2,3,2,3,5.270589854251545,MODERATE
2,3,3,3,2,2,3,2,2,2,3,2,3,2,3,3,2,2,2,3,3,3,3,3,3,3,2,3,2,3,2,2,3,3,2,2,3,2,2,3,3,2,2,3,2,2,3,2,3,3,2,2,5.396723835277779,MODERATE
3,2,2,3,3,2,2,3,2,2,2,2,3,2,2,3,2,2,3,3,2,2,2,3,3,3,2,2,3,3,3,3,2,3,2,3,2,2,2,3,2,2,3,3,2,3,3,3,3,2,2,3,5.5439658500617295,MODERATE
2,3,2,2,2,3,3,3,2,2,2,2,2,2,3,3,2,3,3,3,2,3,3,3,2,2,3,2,3,2,2,2,2,3,2,3,2,2,3,3,2,3,3,2,2,2,3,2,2,3,3,2,5.270393048919754,MODERATE
2,2,2,3,3,2,3,3,2,3,3,2,2,2,3,2,2,2,2,3,3,3,2,2,3,2,3,2,2,3,3,3,2,2,3,3,3,3,2,2,3,3,3,2,3,3,3,2,3,3,2,3,5.915329390802471,MODERATE
2,3,3,2,3,3,2,3,3,2,2,3,2,2,2,3,2,2,3,3,2,3,3,2,3,2,2,2,3,3,3,3,3,2,3,2,3,3,3,2,2,3,3,2,3,2,2,3,2,2,3,3,6.2804239091126535,MODERATE
3,3,3,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,3,2,3,2,2,4.491754010570988,MODERATE
3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,3,2,3,2,3,2,3,2,3,2,2,3,2,3,2,2,3,2,2,3,3,2,3,3,3,3,2,2,3,2,3,2,3,2,2,3,5.917832776736112,MODERATE
2,2,3,2,2,3,3,2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,2,2,2,3,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,3,2,3,2,4.81583082154321,MODERATE
3,2,2,3,2,3,2,3,2,3,2,3,3,3,3,3,2,2,3,2,3,2,3,2,3,2,2,2,2,2,3,3,2,3,3,2,2,3,3,2,2,2,3,3,2,2,2,3,3,3,2,2,5.464972903703704,MODERATE
2,2,3,2,2,3,2,3,3,2,2,3,2,3,3,3,3,2,2,2,2,2,2,3,3,2,2,3,3,3,2,3,2,2,3,3,2,3,3,2,2,2,3,2,3,2,2,3,2,3,3,3,5.765091899043211,MODERATE
3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,3,2,3,3,3,2,3,3,2,3,2,3,2,3,3,2,3,2,2,3,3,2,2,2,2,3,3,3,2,3,3,2,3,3,3,3,2,5.786945756944445,MODERATE
3,3,2,3,2,2,3,3,3,3,3,2,2,2,2,2,3,3,2,3,2,3,2,3,2,2,3,2,2,2,2,2,3,3,3,3,2,3,2,2,3,2,3,3,2,2,2,2,2,3,3,2,5.319412876296297,MODERATE
3,3,2,2,3,3,3,2,2,3,2,3,2,3,2,2,2,3,3,2,2,2,3,3,2,3,3,3,2,3,3,3,2,2,2,2,2,3,2,3,2,3,2,3,2,2,3,3,3,2,3,2,5.958730503703704,MODERATE
2,2,3,2,2,3,2,2,3,3,2,2,3,3,2,3,2,3,3,3,3,2,3,3,2,2,2,2,2,2,3,2,3,2,3,2,3,2,2,3,2,2,2,3,3,2,3,3,2,2,3,2,5.220298971836419,MODERATE
3,2,3,3,2,2,2,2,2,2,3,2,3,2,2,2,3,3,3,2,3,2,3,3,3,3,2,3,2,2,2,3,3,3,2,2,2,3,3,3,2,2,3,2,3,2,2,3,2,2,2,3,5.040262633410494,MODERATE
3,2,3,2,3,3,2,2,3,2,3,2,2,3,2,3,3,3,2,3,2,3,2,3,3,2,2,3,3,2,3,2,2,3,3,2,2,3,3,2,2,2,2,2,2,3,3,3,3,2,2,3,6.221526437291667,MODERATE
3,2,3,3,3,3,3,2,3,3,3,2,3,2,3,2,2,2,2,2,3,3,3,3,3,2,2,3,3,3,2,2,3,3,2,2,2,2,2,3,2,2,2,3,2,3,3,3,3,2,3,2,6.7417166468981495,MODERATE
2,2,2,3,2,3,2,2,3,2,3,2,2,3,2,2,3,2,2,2,2,2,3,3,2,3,2,2,3,2,3,3,2,2,3,3,2,2,3,2,2,3,2,3,2,3,2,2,3,3,2,2,4.738674456250001,MODERATE
2,3,2,2,2,2,3,3,2,3,2,2,2,2,3,2,3,3,3,3,3,2,3,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,2,3,2,2,2,3,3,2,2,3,2,2,3,3,5.059865337777778,MODERATE
2,3,3,2,2,2,2,3,3,2,3,2,3,2,3,2,3,3,3,3,3,3,2,3,2,3,3,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,2,2,3,2,2,5.525722832561728,MODERATE
2,3,3,3,3,3,3,3,2,2,2,2,3,2,2,3,2,2,2,2,2,3,3,3,3,3,3,2,3,2,3,3,3,2,3,2,2,3,3,2,2,3,2,3,3,3,2,3,2,3,2,3,6.472654673086419,MODERATE
2,2,2,3,2,2,3,2,2,2,2,3,3,2,3,2,3,3,2,3,2,3,3,2,3,2,3,3,3,3,3,2,2,3,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,3,3,5.544152725925927,MODERATE
2,2,3,3,2,2,2,2,2,3,2,2,3,3,3,2,2,3,2,2,3,3,3,3,3,2,3,2,2,3,2,3,3,2,2,2,2,2,2,2,3,2,3,3,3,2,2,3,2,2,2,2,4.957553675925926,MODERATE
